Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz2jwh,"POLYGON((-79.5574951171875 43.626708984375, -79.5561218261719 43.626708984375, -79.5561218261719 43.6280822753906, -79.5574951171875 43.6280822753906, -79.5574951171875 43.626708984375))",43.627,-79.557,43.628,-79.556,POINT(-79.55659 43.62711),43.627,-79.557,Toronto,,Ontario,Canada,CA-ON,0.007,61,2022-02-02,5.1
dpz94mr,"POLYGON((-79.3446350097656 43.7983703613281, -79.34326171875 43.7983703613281, -79.34326171875 43.7997436523438, -79.3446350097656 43.7997436523438, -79.3446350097656 43.7983703613281))",43.798,-79.345,43.8,-79.343,POINT(-79.34438 43.79883),43.799,-79.344,Toronto,,Ontario,Canada,CA-ON,0.001,7,2022-02-02,5.1
dpz9n50,"POLYGON((-79.189453125 43.7860107421875, -79.1880798339844 43.7860107421875, -79.1880798339844 43.7873840332031, -79.189453125 43.7873840332031, -79.189453125 43.7860107421875))",43.786,-79.189,43.787,-79.188,POINT(-79.18839 43.78663),43.787,-79.188,Toronto,,Ontario,Canada,CA-ON,0.013,5,2022-02-02,5.1
dpz9k9w,"POLYGON((-79.2471313476562 43.8217163085938, -79.2457580566406 43.8217163085938, -79.2457580566406 43.8230895996094, -79.2471313476562 43.8230895996094, -79.2471313476562 43.8217163085938))",43.822,-79.247,43.823,-79.246,POINT(-79.24708 43.82257),43.823,-79.247,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1
dpz2jsw,"POLYGON((-79.5547485351562 43.6184692382812, -79.5533752441406 43.6184692382812, -79.5533752441406 43.6198425292969, -79.5547485351562 43.6198425292969, -79.5547485351562 43.6184692382812))",43.618,-79.555,43.62,-79.553,POINT(-79.55386 43.61943),43.619,-79.554,Toronto,,Ontario,Canada,CA-ON,0.005,7,2022-02-02,5.1
dpz94rc,"POLYGON((-79.3528747558594 43.8121032714844, -79.3515014648438 43.8121032714844, -79.3515014648438 43.8134765625, -79.3528747558594 43.8134765625, -79.3528747558594 43.8121032714844))",43.812,-79.353,43.813,-79.351,POINT(-79.35231 43.81316),43.813,-79.352,Toronto,,Ontario,Canada,CA-ON,0.001,3,2022-02-02,5.1
dpz2nex,"POLYGON((-79.5094299316406 43.6129760742187, -79.508056640625 43.6129760742188, -79.508056640625 43.6143493652344, -79.5094299316406 43.6143493652344, -79.5094299316406 43.6129760742187))",43.613,-79.509,43.614,-79.508,POINT(-79.50911 43.61374),43.614,-79.509,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1
dpz8ges,"POLYGON((-79.2938232421875 43.7448120117188, -79.2924499511719 43.7448120117188, -79.2924499511719 43.7461853027344, -79.2938232421875 43.7461853027344, -79.2938232421875 43.7448120117188))",43.745,-79.294,43.746,-79.292,POINT(-79.29342 43.74576),43.746,-79.293,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz9k61,"POLYGON((-79.2649841308594 43.824462890625, -79.2636108398438 43.824462890625, -79.2636108398438 43.8258361816406, -79.2649841308594 43.8258361816406, -79.2649841308594 43.824462890625))",43.824,-79.265,43.826,-79.264,POINT(-79.26381 43.82472),43.825,-79.264,Toronto,,Ontario,Canada,CA-ON,0.021,3,2022-02-02,5.1
dpz9hvd,"POLYGON((-79.2416381835938 43.7997436523438, -79.2402648925781 43.7997436523438, -79.2402648925781 43.8011169433594, -79.2416381835938 43.8011169433594, -79.2416381835938 43.7997436523438))",43.8,-79.242,43.801,-79.24,POINT(-79.24128 43.80056),43.801,-79.241,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1
dpz2nsd,"POLYGON((-79.5162963867188 43.6184692382812, -79.5149230957031 43.6184692382812, -79.5149230957031 43.6198425292969, -79.5162963867188 43.6198425292969, -79.5162963867188 43.6184692382812))",43.618,-79.516,43.62,-79.515,POINT(-79.51602 43.61959),43.62,-79.516,Toronto,,Ontario,Canada,CA-ON,0.004,8,2022-02-02,5.1
