,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME
130,6.0,0.005,0.035,0.419,43.649,-79.431,5,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1028.3333333333333
131,3.0,0.005,0.022,0.51,43.649,-79.425,1,65 to 69,Dry,Clear,Dark,No Control,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",244.0
132,12.0,0.007,0.023,0.416,43.649,-79.371,1,30 to 34,Wet,Rain,Daylight,Traffic Signal,Speed too Fast For Condition,Inattentive,Motorcycle,1750.0
133,124.0,0.022,0.049,0.946,43.649,-79.356,3,25 to 29,Dry,Clear,Dark,No Control,Lost control,Had Been Drinking,Motorcycle,1356.0
134,124.0,0.022,0.049,0.946,43.649,-79.356,3,25 to 29,Dry,Clear,Daylight,No Control,Exceeding Speed Limit,Had Been Drinking,Motorcycle,1356.0
135,124.0,0.022,0.049,0.946,43.649,-79.356,3,30 to 34,Dry,Clear,Dark,No Control,Lost control,Normal,"Automobile, Station Wagon",1356.0
136,15.0,0.005,0.009,0.786,43.649,-79.352,1,40 to 44,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,Motorcycle,1127.0
137,8.0,0.011,0.037,0.476,43.65,-79.44,1,50 to 54,Dry,Clear,Daylight,Stop Sign,Lost control,Normal,Moped,1830.0
138,6.0,0.0095,0.037,0.455,43.65,-79.389,2,45 to 49,Dry,Clear,Daylight,Traffic Controller,Lost control,Normal,Motorcycle,1221.0
139,6.0,0.01,0.021,0.446,43.65,-79.388,2,30 to 34,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",648.0
140,3.0,0.007,0.019,0.711,43.65,-79.38,1,45 to 49,Dry,Clear,Dark,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1730.0
141,4.0,0.021,0.066,0.954,43.65,-79.347,1,35 to 39,Dry,Clear,"Dark, artificial",No Control,Lost control,Fatigue,Motorcycle,405.0
142,124.0,0.039,0.024,0.441,43.651,-79.386,1,40 to 44,Other,Clear,"Dark, artificial",No Control,Lost control,Unknown,"Automobile, Station Wagon",1937.0
143,9.0,0.021,0.033,0.398,43.651,-79.381,5,20 to 24,Wet,Rain,Dusk,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1659.0
144,9.0,0.021,0.033,0.398,43.651,-79.381,5,unknown,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1659.0
145,3.0,0.005,0.032,0.629,43.651,-79.375,2,40 to 44,Wet,Rain,Daylight,No Control,Lost control,Unknown,Motorcycle,1655.0
146,3.0,0.005,0.032,0.629,43.651,-79.375,2,55 to 59,Dry,Clear,Dark,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1655.0
147,12.0,0.019,0.034,0.43,43.651,-79.372,1,60 to 64,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,Truck - Open,2350.0
148,7.0,0.011,0.021,0.286,43.651,-79.362,3,35 to 39,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1397.3333333333333
149,7.0,0.011,0.021,0.286,43.651,-79.362,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1397.3333333333333
150,7.0,0.011,0.021,0.286,43.651,-79.362,3,75 to 79,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",1397.3333333333333
151,27.0,0.076,0.067,0.635,43.652,-79.485,1,35 to 39,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1721.0
152,17.0,0.01,0.041,0.362,43.652,-79.406,2,30 to 34,Wet,Other,"Dark, artificial",No Control,Improper Lane Change,Inattentive,"Automobile, Station Wagon",921.0
