,LATITUDE,LONGITUDE,PEDTYPE,PEDACT,PEDCOND,TRAFFCTL,LIGHT,VISIBILITY,RDSFCOND,TIME
248,43.647,-79.399,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,1439.0
249,43.647,-79.395,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Inattentive,Traffic Signal,Daylight,Clear,Dry,1310.0
250,43.647,-79.392,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Had Been Drinking,Traffic Signal,Dark,Clear,Dry,300.0
251,43.647,-79.39,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,Traffic Signal,Dark,Clear,Dry,2220.0
252,43.647,-79.387,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,1627.0
253,43.647,-79.386,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,Traffic Signal,Daylight,Clear,Dry,944.0
254,43.647,-79.384,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,"Dusk, artificial",Rain,Wet,2049.0
255,43.647,-79.379,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1640.0
256,43.647,-79.379,Vehicle turns left while ped crosses without ROW at inter.,Crossing without right of way,Inattentive,Traffic Signal,"Dark, artificial",Clear,Wet,1640.0
257,43.647,-79.377,Pedestrian hit at private driveway,Other,Normal,No Control,Daylight,Clear,Dry,1230.25
258,43.647,-79.377,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1230.25
259,43.647,-79.377,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,"Daylight, artificial",Clear,Dry,1230.25
260,43.647,-79.377,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Rain,Wet,1230.25
261,43.647,-79.375,Vehicle turns left while ped crosses with ROW at inter.,"Crossing, no Traffic Control",Normal,Stop Sign,Daylight,Clear,Dry,955.0
262,43.648,-79.564,Pedestrian hit at mid-block,Playing or Working on Highway,Normal,No Control,Daylight,Clear,Dry,1030.0
263,43.648,-79.529,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking,No Control,Dark,Clear,Dry,128.0
264,43.648,-79.528,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Wet,1138.0
