,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
400,22,0.054,43.733,-79.433,1
401,5,0.056,43.733,-79.268,1
402,3,0.039,43.734,-79.613,1
403,34,0.027,43.734,-79.603,1
404,5,0.005,43.734,-79.535,1
405,3,0.003,43.735,-79.617,1
406,5,0.014,43.735,-79.356,1
407,53,0.094,43.735,-79.29,1
408,50,0.067,43.736,-79.484,1
409,7,0.014,43.736,-79.307,1
410,15,0.016,43.736,-79.248,7
411,15,0.016,43.737,-79.565,6
412,22,0.03,43.737,-79.434,1
413,1916,0.148,43.737,-79.432,2
414,3,0.004,43.737,-79.343,2
415,22,0.004,43.737,-79.332,1
416,3,0.005,43.737,-79.248,1
417,17,0.028,43.737,-79.246,3
418,8,0.006,43.738,-79.217,1
419,4,0.004,43.739,-79.513,4
420,22,0.03,43.739,-79.421,2
421,83,0.010499999999999999,43.74,-79.332,5
422,9,0.009,43.741,-79.59,1
423,9,0.018,43.741,-79.589,5
424,34,0.017,43.741,-79.454,2
425,3,0.004,43.741,-79.406,2
426,3,0.004,43.742,-79.594,2
427,20,0.022,43.743,-79.582,6
428,8,0.019,43.743,-79.568,1
429,21,0.006,43.743,-79.332,1
430,3,0.006,43.743,-79.304,2
431,3,0.005,43.743,-79.219,1
432,68,0.031,43.744,-79.487,2
433,3,0.003,43.744,-79.3,2
434,10,0.0075,43.746,-79.568,3
435,5,0.007,43.746,-79.291,3
436,22,0.075,43.747,-79.515,5
