,LATITUDE,LONGITUDE,COUNT
555,43.649,-79.428,1
556,43.649,-79.425,1
557,43.649,-79.424,2
558,43.649,-79.423,1
559,43.649,-79.422,1
560,43.649,-79.421,1
561,43.649,-79.42,4
562,43.649,-79.419,1
563,43.649,-79.418,2
564,43.649,-79.416,1
565,43.649,-79.396,1
566,43.649,-79.394,2
567,43.649,-79.393,1
568,43.649,-79.391,1
569,43.649,-79.39,2
570,43.649,-79.387,3
571,43.649,-79.384,1
572,43.649,-79.382,1
573,43.649,-79.38,2
574,43.649,-79.377,1
575,43.649,-79.376,1
576,43.649,-79.374,2
577,43.649,-79.371,1
578,43.649,-79.367,1
579,43.649,-79.356,3
580,43.649,-79.352,1
581,43.649,-79.343,1
582,43.65,-79.581,3
583,43.65,-79.568,1
584,43.65,-79.54,2
585,43.65,-79.539,1
586,43.65,-79.498,1
587,43.65,-79.48,2
588,43.65,-79.479,1
589,43.65,-79.478,2
590,43.65,-79.458,1
591,43.65,-79.45,1
592,43.65,-79.443,1
593,43.65,-79.442,2
594,43.65,-79.441,2
595,43.65,-79.44,1
596,43.65,-79.439,8
597,43.65,-79.438,1
598,43.65,-79.413,2
599,43.65,-79.406,1
600,43.65,-79.397,2
601,43.65,-79.391,1
602,43.65,-79.389,2
603,43.65,-79.388,2
604,43.65,-79.387,3
605,43.65,-79.386,13
606,43.65,-79.384,1
607,43.65,-79.38,1
608,43.65,-79.378,3
609,43.65,-79.377,1
610,43.65,-79.367,1
611,43.65,-79.363,1
612,43.65,-79.348,3
613,43.65,-79.347,1
614,43.65,-79.346,3
615,43.651,-79.603,2
616,43.651,-79.579,1
617,43.651,-79.57,2
618,43.651,-79.569,1
619,43.651,-79.526,2
620,43.651,-79.485,1
621,43.651,-79.476,4
622,43.651,-79.475,2
623,43.651,-79.472,1
624,43.651,-79.458,1
625,43.651,-79.445,2
626,43.651,-79.439,1
627,43.651,-79.436,2
628,43.651,-79.421,1
629,43.651,-79.411,1
630,43.651,-79.41,3
631,43.651,-79.409,2
632,43.651,-79.408,4
633,43.651,-79.402,1
634,43.651,-79.397,3
635,43.651,-79.391,1
636,43.651,-79.386,1
637,43.651,-79.385,1
638,43.651,-79.384,2
639,43.651,-79.383,2
640,43.651,-79.382,1
641,43.651,-79.381,5
642,43.651,-79.379,1
643,43.651,-79.378,2
644,43.651,-79.377,3
645,43.651,-79.375,2
646,43.651,-79.374,2
647,43.651,-79.372,1
648,43.651,-79.371,1
649,43.651,-79.369,1
