,LATITUDE,LONGITUDE,COUNT
645,43.672,-79.384,1
646,43.672,-79.379,1
647,43.672,-79.376,2
648,43.672,-79.37,1
649,43.672,-79.369,1
650,43.672,-79.342,1
651,43.672,-79.319,1
652,43.672,-79.288,2
653,43.672,-79.287,1
654,43.673,-79.463,4
655,43.673,-79.414,3
656,43.673,-79.404,1
657,43.673,-79.396,1
658,43.673,-79.39,1
659,43.673,-79.328,1
660,43.673,-79.319,2
661,43.673,-79.281,1
662,43.674,-79.563,1
663,43.674,-79.463,1
664,43.674,-79.46,1
665,43.674,-79.459,1
666,43.674,-79.457,2
667,43.674,-79.434,1
668,43.674,-79.432,1
669,43.674,-79.431,1
670,43.674,-79.43,3
671,43.674,-79.408,1
672,43.674,-79.398,1
673,43.674,-79.392,1
674,43.674,-79.39,1
675,43.674,-79.38,1
676,43.674,-79.367,1
677,43.674,-79.327,1
678,43.674,-79.324,1
679,43.675,-79.451,1
680,43.675,-79.407,2
681,43.675,-79.404,1
682,43.675,-79.394,1
683,43.675,-79.391,1
684,43.675,-79.38,1
685,43.675,-79.358,1
686,43.675,-79.32,2
687,43.676,-79.591,1
688,43.676,-79.495,1
689,43.676,-79.475,1
690,43.676,-79.463,1
691,43.676,-79.449,1
692,43.676,-79.448,1
693,43.676,-79.415,1
694,43.676,-79.397,1
695,43.676,-79.386,1
696,43.676,-79.358,2
697,43.676,-79.323,1
698,43.676,-79.308,1
699,43.677,-79.496,1
700,43.677,-79.446,1
701,43.677,-79.444,2
702,43.677,-79.443,4
703,43.677,-79.412,1
704,43.677,-79.38,1
705,43.677,-79.358,1
706,43.677,-79.354,1
707,43.677,-79.35,2
708,43.677,-79.302,1
709,43.678,-79.496,1
710,43.678,-79.483,1
711,43.678,-79.464,2
712,43.678,-79.456,1
713,43.678,-79.445,1
714,43.678,-79.443,1
715,43.678,-79.44,1
716,43.678,-79.438,1
717,43.678,-79.348,1
718,43.678,-79.347,1
719,43.678,-79.344,3
720,43.678,-79.301,1
721,43.678,-79.297,2
722,43.679,-79.47,1
723,43.679,-79.465,1
724,43.679,-79.435,2
725,43.679,-79.416,2
726,43.679,-79.398,1
727,43.679,-79.39,1
728,43.679,-79.389,1
729,43.679,-79.345,1
730,43.679,-79.342,1
731,43.679,-79.34,1
732,43.679,-79.339,1
733,43.679,-79.304,1
734,43.68,-79.497,1
735,43.68,-79.484,1
736,43.68,-79.443,1
737,43.68,-79.433,1
738,43.68,-79.432,2
739,43.68,-79.431,1
740,43.68,-79.425,1
741,43.68,-79.39,1
742,43.68,-79.335,1
743,43.68,-79.311,1
744,43.681,-79.476,4
745,43.681,-79.455,1
746,43.681,-79.444,2
747,43.681,-79.428,1
748,43.681,-79.427,1
